Chemical,MeltingPoint,BoilingPoint,Dielectric,DipoleMoment
+58_Quinoline,-14.85,237.1,8.95,7.3
K59_3-pentanone,-39,102,17,9.4
H60_chloroform,-63.15,61.2,4.81,3.8
T62_Trietylenglycold,-45,216,7.5,1
T64_dietylenglycoldi,-64,159.8,5.8,6.6
T65_1.2-Dimethoxyeth,-69,84.5,7.2,5.7
H67_1.2.Dichlorobenz,-17,180.5,9.93,7.1
E66_ethylacetate,-83.55,77.1,6.02,6.1
H73_fluorobenzene,-42.2,84.7,5.42,4.9
H78_Iodobenzene,-31.35,188.3,4.49,4.7
H75_Chlorobenzene,-45.6,131.7,5.62,5.4
H76_Bromobenzene,-30.8,155.9,5.4,5.2
T70_tetrahydrofuran,-108.4,66,7.58,5.8
T71_methoxybenzene,-37.5,153.6,4.33,4.2
T77_Ethoxybenzene,-29.5,169.8,4.22,4.5
H79_1.1.1-Trichloret,-30.4,74.1,7.25,5.7
T80_1.4-Dioxane,11.8,101.3,2.21,1.5
H81_Trichlorethene,-86.4,87.2,3.42,2.7
+83_Piperidine,-10.5,106.2,5.8,4
T85_Diphenylether,26.9,258.1,3.69,3.9
T86_Diethylether,-116.3,34.4,4.2,3.8
D87_Benzene,5.5,80.1,2.27,0
T73_Diisopropylether,-85.5,68.3,3.88,4.2
D89_toluene,-95,110.6,2.38,1
T75_Din-butylether,-95.2,140.3,3.08,3.94
+94_triethylamine,-114.7,88.9,2.42,2.9
D77_1.3.5-trimethylb,-44.7,164.7,2.28,0
S92_Carbondisulfide,-111.6,46.2,2.64,0
H93_carbontetrachlor,-22.8,76.6,2.23,0
H80_Tetracloroethyle,-22.4,121.2,2.3,0
D100_Cyclohexane,6.7,80.7,2.02,0
D98_n-Hexane,-95.3,68.7,1.88,0
A09_tetraethylenegly,-6.2,327.3,19.7,10.8
A17_1-Pentanol,-78.2,138,13.9,5.7
U36_DMEU,8.2,225.5,37.6,13.6
U_39_DMPU,-20,230,36.12,14.1
K46_2-Pentanone,-76.9,102.3,15.38,9
+48_Morpholine,-4.8,128.9,7.42,5.2
K50_3-Methyl2-butano,-92,94.2,15.87,9.2
K61_3.3-Dimethyl-2-b,-49.8,106.3,13.1,9.3
K63_2.4-Dimethyl-3-p,-69,125.25,17.2,9.1
K68_2.6-Dimethyl4-he,-46,168.2,9.91,8.9
T69_dietylenglycolDi,-44.3,188.9,5.7,1
C72_Diethylcarbonate,-43,126.8,2.82,3
H74_1.1-Dichlorethen,-122.6,31.6,4.82,4.3
T82_t-Butyl-methylet,-108.6,55.2,4.5,4.1
+84_Diethylamine,-49.8,55.55,3.78,4
T88_di-n-propylether,-123.2,90.1,3.39,4.4
D90-p-Xylene,13.3,138.4,2.27,0
+95_Tri_n-butylamine,-70,214,1,2.6
D96_cis-decalin,-43,195.8,2.2,0
D97_n-Heptane,-90.6,98.4,1.92,0
D99_n-Pentane,-129.7,36.1,1.84,0
